,xrsa,xrsb
2017-09-07 11:55:00,1.5842801e-07,3.005186e-06
2017-09-07 11:56:00,1.5842801e-07,3.0128178e-06
2017-09-07 11:57:00,1.5842801e-07,3.0204496e-06
2017-09-07 11:58:00,1.6210699e-07,3.044509e-06
2017-09-07 11:59:00,1.7750419e-07,3.1358732e-06
2017-09-07 12:00:00,1.949574e-07,3.2591022e-06
2017-09-07 12:01:00,2.0166738e-07,3.3532522e-06
2017-09-07 12:02:00,1.8904075e-07,3.3710317e-06
2017-09-07 12:03:00,1.7114546e-07,3.2808357e-06
2017-09-07 12:04:00,1.6128186e-07,3.2242262e-06
2017-09-07 12:05:00,1.6342415e-07,3.2464443e-06
2017-09-07 12:06:00,1.833179e-07,3.358443e-06
2017-09-07 12:07:00,2.140563e-07,3.5756188e-06
2017-09-07 12:08:00,2.3459651e-07,3.756993e-06
2017-09-07 12:09:00,2.4908533e-07,3.855884e-06
2017-09-07 12:10:00,2.7082615e-07,3.930273e-06
2017-09-07 12:11:00,2.7951643e-07,3.990335e-06
2017-09-07 12:12:00,3.0608683e-07,4.156321e-06
2017-09-07 12:13:00,3.227558e-07,4.3020627e-06
2017-09-07 12:14:00,3.2900098e-07,4.3894293e-06
2017-09-07 12:15:00,3.1339937e-07,4.335156e-06
2017-09-07 12:16:00,3.0526928e-07,4.269748e-06
2017-09-07 12:17:00,2.9774023e-07,4.236377e-06
2017-09-07 12:18:00,2.9405064e-07,4.2474257e-06
2017-09-07 12:19:00,2.950499e-07,4.280649e-06
2017-09-07 12:20:00,2.9550407e-07,4.3198424e-06
2017-09-07 12:21:00,2.8645653e-07,4.323316e-06
2017-09-07 12:22:00,2.634379e-07,4.2665033e-06
2017-09-07 12:23:00,2.3823007e-07,4.1134945e-06
2017-09-07 12:24:00,2.4268272e-07,4.101265e-06
2017-09-07 12:25:00,2.3704918e-07,4.088577e-06
2017-09-07 12:26:00,2.2160654e-07,3.960226e-06
2017-09-07 12:27:00,2.0869983e-07,3.823764e-06
2017-09-07 12:28:00,1.9762504e-07,3.7486268e-06
2017-09-07 12:29:00,1.9485445e-07,3.7429768e-06
2017-09-07 12:30:00,1.8404461e-07,3.6792555e-06
2017-09-07 12:31:00,1.6927267e-07,3.564579e-06
2017-09-07 12:32:00,1.742794e-07,3.5376672e-06
2017-09-07 12:33:00,1.9058501e-07,3.5802345e-06
2017-09-07 12:34:00,1.8191746e-07,3.5071218e-06
2017-09-07 12:35:00,1.7114546e-07,3.4426694e-06
2017-09-07 12:36:00,1.6642184e-07,3.3488395e-06
2017-09-07 12:37:00,1.679116e-07,3.2974906e-06
2017-09-07 12:38:00,1.6006311e-07,3.2124424e-06
2017-09-07 12:39:00,1.4130485e-07,3.077343e-06
2017-09-07 12:40:00,1.2736106e-07,2.9739094e-06
2017-09-07 12:41:00,1.1566402e-07,2.8558977e-06
2017-09-07 12:42:00,1.0724022e-07,2.74524e-06
